Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,producto0,producto1,producto2,producto3,producto4,producto5,producto6,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,Productividad_especifica_global
10,81.77371212126388,1.298393255888234,2.258855603872507,77.84183045794772,224.6680320282111,0.9,6,1.0530180476094282,1.0782010509569746,77.84183045794772,5.3738341791913307e-14,0.0,0.0,0.0,0.0,0.0,0.0,15.454431235765473,0.0,0.0,0.0,0.0,0.0,0.0,197.47851573039875,197.47851573039875,197.47851573039875,197.47851573039875,197.47851573039875,197.47851573039875,0.0,12.778116044373306,0.0,0.0,0.0,0.0,0.0,76.66869626623983
11,99.57719605668149,1.1007939367832975,2.0702102875112462,44.73952953248573,163.1895886567498,0.9,6,1.011978784485298,0.9544659698068813,44.73952953248573,3.041722658412951e-16,0.0,0.0,0.0,0.0,0.0,0.0,19.094579496543012,0.0,0.0,0.0,0.0,0.0,0.0,155.720545429854,155.720545429854,155.720545429854,155.720545429854,155.720545429854,155.720545429854,0.0,8.155222557168463,0.0,0.0,0.0,0.0,0.0,48.93133534301078
12,95.46536073745581,0.8284934380540365,0.8287555518398024,42.65032564381393,163.87004509169356,0.9,6,0.9411890635705217,1.018699935823824,42.65032564381393,2.3242611793229973e-13,0.0,0.0,0.0,0.0,0.0,0.0,39.62958538132884,0.0,0.0,0.0,0.0,0.0,0.0,136.26134642498414,136.26134642498414,136.26134642498414,136.26134642498414,136.26134642498414,136.26134642498414,0.0,3.438374262910724,0.0,0.0,0.0,0.0,0.0,20.630245577464343
13,88.02356625903731,1.2186091558663432,0.9415696347739,55.139434962004486,161.58964993704214,0.9,6,1.0493558706915362,0.9387862284107247,55.139434962004486,3.6312569662495724e-11,0.0,0.0,0.0,0.0,0.0,0.0,29.789323365176692,0.0,0.0,0.0,0.0,0.0,0.0,162.5594181141052,162.5594181141052,162.5594181141052,162.5594181141052,162.5594181141052,162.5594181141052,0.0,5.45696913358344,0.0,0.0,0.0,0.0,0.0,32.741814801500645
14,113.91131295716735,1.148011123675607,1.2037623260019903,47.54623954667066,159.7259970992252,0.9,6,0.9088364695543536,1.0582741949905827,47.54623954667066,7.08561247464612e-14,0.0,0.0,0.0,0.0,0.0,0.0,28.36093716348576,0.0,0.0,0.0,0.0,0.0,0.0,123.45413956814895,123.45413956814895,123.45413956814895,123.45413956814895,123.45413956814895,123.45413956814895,0.0,4.352964038406111,0.0,0.0,0.0,0.0,0.0,26.117784230436673
15,108.94039566921704,0.7242094657092296,0.8070952431416119,56.39074829494964,208.20914433455698,0.9,6,1.0449282713834693,0.9485772357846091,56.39074829494964,2.577047573171756e-13,0.0,0.0,0.0,0.0,0.0,0.0,40.91123966477685,0.0,0.0,0.0,0.0,0.0,0.0,206.42205163842596,206.42205163842596,206.42205163842596,206.42205163842596,206.42205163842596,206.42205163842596,0.0,5.045607352156286,0.0,0.0,0.0,0.0,0.0,30.273644112937717
16,103.06542285359583,1.160269034315518,0.36933939209450045,57.12969689682216,180.48166376876358,0.9,6,1.0317413832790514,0.9141386492441421,57.12969689682216,2.0559532842056843e-14,2.0089158435991424e-18,0.0,0.0,0.0,0.0,0.0,96.28210936784114,25.0,0.0,0.0,0.0,0.0,0.0,183.330353036196,366.660706072392,366.660706072392,366.660706072392,366.660706072392,366.660706072392,0.0,1.9040957270243346,3.0232052194964116,0.0,0.0,0.0,0.0,16.627628707230265
17,99.83689121011548,1.2332749573611372,0.026675309420643292,65.36382981305137,177.85969225001224,0.9,6,1.0902614688020986,1.023340025709621,65.36382981305137,56.929202549906385,48.49457528676133,40.059948023616286,31.62532076047123,23.190693497326173,14.756066234181269,0.0,5.179344202432611,6.011420180780355,7.162987545666045,8.862837893480256,11.628994771594595,16.948136584133103,0.0,170.54176324320824,341.0835264864165,511.6252897296247,682.167052972833,852.7088162160412,1023.2505794592495,0.0,32.92728897282188,30.479019556346735,27.875787561702822,25.064383797723686,21.95124169527266,18.33988767648522,64.18960686769826
18,97.6365778803157,0.9858651652204846,0.17815536188431527,48.88483665572883,196.70901956193435,0.9,6,1.0540916270008822,1.0641643309383821,48.88483665572883,7.983580121098355e-14,9.28753414481165e-16,0.0,0.0,0.0,0.0,0.0,191.11561534699007,25.0,0.0,0.0,0.0,0.0,0.0,175.36238718286305,350.7247743657261,350.7247743657261,350.7247743657261,350.7247743657261,350.7247743657261,0.0,0.9175722604585428,1.6228571628320831,0.0,0.0,0.0,0.0,8.925714395576456
19,86.15749454589792,0.9365885574347734,0.10876484731414499,64.05607233528225,207.80390040666623,0.9,6,0.9138677661733312,1.0212287767598098,64.05607233528225,19.299072709354082,2.527866545515491e-12,7.245296558366191e-16,0.0,0.0,0.0,0.0,11.030234593592203,272.7324426292694,75.0,0.0,0.0,0.0,0.0,167.36186986656918,334.72373973313836,502.08560959970754,502.08560959970754,502.08560959970754,502.08560959970754,0.0,15.17301091345734,1.1795904345456008,1.3994923147700071,0.0,0.0,0.0,6.997461573850036
20,86.39226441888555,1.0040301582530406,0.4283371905710936,44.63505620043904,175.176511193977,0.9,6,1.0885419674575614,1.0157951013404736,44.63505620043904,2.743658771200051e-11,0.0,0.0,0.0,0.0,0.0,0.0,65.64375883769443,0.0,0.0,0.0,0.0,0.0,0.0,168.9497079738092,168.9497079738092,168.9497079738092,168.9497079738092,168.9497079738092,168.9497079738092,0.0,2.5737360407946914,0.0,0.0,0.0,0.0,0.0,15.442416244768147
21,97.17488512391144,1.0416205747578675,2.3930134545703,78.81530941769569,186.60689299327083,0.9,6,1.0740218049705499,1.0547471643821857,78.81530941769569,2.5168860062154378e-14,0.0,0.0,0.0,0.0,0.0,0.0,14.910186178909253,0.0,0.0,0.0,0.0,0.0,0.0,171.0152830180651,171.0152830180651,171.0152830180651,171.0152830180651,171.0152830180651,171.0152830180651,0.0,11.469694674904163,0.0,0.0,0.0,0.0,0.0,68.81816804942497
22,103.47241488647687,0.8108389144632624,0.4835468415078118,80.83604510978321,204.30617172493422,0.9,6,0.9351535508295964,1.0307731206968942,80.83604510978321,5.088912545573796e-13,0.0,0.0,0.0,0.0,0.0,0.0,67.62315914087982,0.0,0.0,0.0,0.0,0.0,0.0,166.81835633647628,166.81835633647628,166.81835633647628,166.81835633647628,166.81835633647628,166.81835633647628,0.0,2.466882033549222,0.0,0.0,0.0,0.0,0.0,14.801292201295334
23,98.55819831281833,1.2588254016076692,2.094050184906396,75.62509700710513,183.95873370914924,0.9,6,0.9831492758618453,0.9559978790834001,75.62509700710513,3.8320964442986465e-13,0.0,0.0,0.0,0.0,0.0,0.0,15.718812575427558,0.0,0.0,0.0,0.0,0.0,0.0,170.2650286287411,170.2650286287411,170.2650286287411,170.2650286287411,170.2650286287411,170.2650286287411,0.0,10.831926890896835,0.0,0.0,0.0,0.0,0.0,64.99156134538102
