Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,Productividad_especifica_global
0,90.36307814737009,1.1930870923510866,2.2227370859256697,56.520551136968464,201.494579067958,0.9,7,0.9760227355686767,1.0285391645966353,56.520551136968464,5.898780861533858e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.519626740102089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.08577692533854,172.08577692533854,172.08577692533854,172.08577692533854,172.08577692533854,172.08577692533854,172.08577692533854,0.0,11.088267766174804,0.0,0.0,0.0,0.0,0.0,0.0,77.61787436322362
1,110.01857027700211,0.9197094729335057,1.4547222831825837,58.19668543218221,193.94483706480645,0.9,7,0.9496545536836029,1.094427606724511,58.19668543218221,9.595472957465698e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.981615938997408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.46048664646102,151.46048664646102,151.46048664646102,151.46048664646102,151.46048664646102,151.46048664646102,151.46048664646102,0.0,6.062877878529247,0.0,0.0,0.0,0.0,0.0,0.0,42.440145149704726
2,86.95820797793876,1.1193668187543098,0.5110949204456448,61.92346972794815,216.12453506593835,0.9,7,1.0443897998644331,1.08873603380192,61.92346972794815,3.3048418577026264e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.796195450153675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.58924443014962,186.58924443014962,186.58924443014962,186.58924443014962,186.58924443014962,186.58924443014962,186.58924443014962,0.0,3.120420003739052,0.0,0.0,0.0,0.0,0.0,0.0,21.842940026173366
3,116.76979082859367,1.2534932510955086,0.7745598341683799,65.6540875842707,199.6308626772863,0.9,7,1.0207524197655207,0.9787868301368365,65.6540875842707,9.626603287758522e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.15184990594398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.37105146613723,187.37105146613723,187.37105146613723,187.37105146613723,187.37105146613723,187.37105146613723,187.37105146613723,0.0,4.91119177518428,0.0,0.0,0.0,0.0,0.0,0.0,34.37834242628996
4,96.95312414077578,1.0875861763627077,1.882620811409205,61.53478957852242,197.33080661011792,0.9,7,0.9582851417335093,0.9853978919411968,61.53478957852242,3.060857194120975e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.717045292346647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.7112097301342,172.7112097301342,172.7112097301342,172.7112097301342,172.7112097301342,172.7112097301342,172.7112097301342,0.0,9.227482598482323,0.0,0.0,0.0,0.0,0.0,0.0,64.59237818937626
5,99.87310032088041,0.815494686683038,0.7532838862950464,50.63593378946417,187.88788339066113,0.9,7,1.0008074739579274,0.9018785931872301,50.63593378946417,1.1430180656279918e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.65664172668606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.64791563472107,187.64791563472107,187.64791563472107,187.64791563472107,187.64791563472107,187.64791563472107,187.64791563472107,0.0,4.854221868558774,0.0,0.0,0.0,0.0,0.0,0.0,33.97955307991142
6,94.63874677264009,1.279725459763669,2.159669050133569,55.647091305257646,163.21911735604561,0.9,7,0.9592731948627093,0.954630937576738,55.647091305257646,8.481163323154534e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.929850719250663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.61154934872138,147.61154934872138,147.61154934872138,147.61154934872138,147.61154934872138,147.61154934872138,147.61154934872138,0.0,8.23272606448619,0.0,0.0,0.0,0.0,0.0,0.0,57.62908245140333
7,93.3708390245874,1.29515386525529,0.5227530568043591,59.555231728804806,176.26274709833157,0.9,7,0.9255885144196805,0.9931823667204469,59.555231728804806,2.0063806210480216e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.342728742813435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.8400158227719,147.8400158227719,147.8400158227719,147.8400158227719,147.8400158227719,147.8400158227719,147.8400158227719,0.0,2.491291164979934,0.0,0.0,0.0,0.0,0.0,0.0,17.43903815485954
8,85.0476295390317,1.1316616551563752,2.3123254210543087,71.97050316258999,199.6464516082375,0.9,7,0.9303851636816748,1.0703727454234704,71.97050316258999,4.487491758775362e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.136889079110208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.18230902923213,156.18230902923213,156.18230902923213,156.18230902923213,156.18230902923213,156.18230902923213,156.18230902923213,0.0,9.678588497668725,0.0,0.0,0.0,0.0,0.0,0.0,67.75011948368108
9,116.29384492786613,0.8398840702634934,0.9299875651108693,58.77681507774713,161.36078820540655,0.9,7,1.066361703460679,1.0006042791358405,58.77681507774713,1.791562195253443e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.46462015752574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.76854508155049,154.76854508155049,154.76854508155049,154.76854508155049,154.76854508155049,154.76854508155049,154.76854508155049,0.0,4.624840932095419,0.0,0.0,0.0,0.0,0.0,0.0,32.37388652466793
