Model,K,k,kd,e0,Si,Xopt,nlotes,V,Mbiocat,efinish0,efinish1,efinish2,efinish3,efinish4,efinish5,efinish6,efinish7,efinish8,efinish9,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,Productividad_especifica_global
12,10.0,1.0,0.9652839586238587,18.0,200.0,0.9,9,1.0,1.0,18.0,5.078303488096832e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
13,10.0,1.0,0.22678596101919227,18.0,200.0,0.9,9,1.0,1.0,18.0,1.1638095994481892e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0665862137803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494222618206425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494222618206425
14,10.0,1.0,0.3842611524346307,18.0,200.0,0.9,9,1.0,1.0,18.0,4.060434412414577e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.77430323546137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2011804794191523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2011804794191523
15,10.0,1.0,0.4340765748955377,18.0,200.0,0.9,9,1.0,1.0,18.0,1.0688275977587115e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
16,10.0,1.0,0.9722906418427121,18.0,200.0,0.9,9,1.0,1.0,18.0,3.8511533035814047e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
17,10.0,1.0,0.14853075239330255,18.0,200.0,0.9,9,1.0,1.0,18.0,6.632925663619738e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.75512505572837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8044508475735216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8044508475735216
18,10.0,1.0,0.9630469254374466,18.0,200.0,0.9,9,1.0,1.0,18.0,5.547177083590249e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
19,10.0,1.0,0.4195235798825969,18.0,200.0,0.9,9,1.0,1.0,18.0,2.7467100472555947e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
20,10.0,1.0,1.292806394124305,18.0,200.0,0.9,9,1.0,1.0,18.0,2.649967642126691e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.198035598434963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554
21,10.0,1.0,1.238700038782094,18.0,200.0,0.9,9,1.0,1.0,18.0,1.2185422538887495e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.198035598434963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554
