Model,K,k,kd,e0,Si,Xopt,nlotes,beta,kr,V,Mbiocat,e0_activity0,e0_activity1,e0_activity2,e0_activity3,e0_activity4,e0_activity5,e0_activity6,e0_activity7,e0_activity8,e0_activity9,Gamma0,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,et_activity0,et_activity1,et_activity2,et_activity3,et_activity4,et_activity5,et_activity6,et_activity7,et_activity8,et_activity9,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,t_reactivacion0,t_reactivacion1,t_reactivacion2,t_reactivacion3,t_reactivacion4,t_reactivacion5,t_reactivacion6,t_reactivacion7,t_reactivacion8,t_reactivacion9,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,Productividad_especifica_global
10,10.0,1.0,0.19407277657192107,18.0,200.0,0.9,9,0.8585264153881548,0.1138617588775608,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3199556042108427e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.375920087579517e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.53778596481732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0196117449658777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0196117449658777
11,10.0,1.0,1.2245382412376589,18.0,200.0,0.9,9,0.8910864499835789,0.3615007403147711,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.795547382529068e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.2319852885523226e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.60793737835671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.079450847919563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.079450847919563
12,10.0,1.0,0.9652839586238587,18.0,200.0,0.9,9,0.8987124364024358,0.25893257560248195,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.821279715609351e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.078303488096832e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
13,10.0,1.0,0.22678596101919227,18.0,200.0,0.9,9,0.9365597562842095,0.20123206680760938,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.465608885823273e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.1638095994481892e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0665862137803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494222618206425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494222618206425
14,10.0,1.0,0.3842611524346307,18.0,200.0,0.9,9,0.9315575963819345,0.364556580393284,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.255796895785876e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.060434412414577e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.77430323546137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2011804794191523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2011804794191523
15,10.0,1.0,0.4340765748955377,18.0,200.0,0.9,9,0.9481483173663707,0.32386076106646594,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.937931098659509e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0688275977587115e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
16,10.0,1.0,0.9722906418427121,18.0,200.0,0.9,9,0.8665737730221011,0.2164101022902063,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1395296131007805e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.8511533035814047e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
17,10.0,1.0,0.14853075239330255,18.0,200.0,0.9,9,0.9041712594017701,0.2947336047905651,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.684958702010965e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.632925663619738e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.75512505572837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8044508475735216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8044508475735216
18,10.0,1.0,0.9630469254374466,18.0,200.0,0.9,9,0.9174518445889622,0.14389480663783566,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.081765046439027e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.547177083590249e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
19,10.0,1.0,0.4195235798825969,18.0,200.0,0.9,9,0.9359838883379688,0.3016065464787201,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5259500262531081e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.7467100472555947e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
